Naam;ISO;Groep
Tswana, Setswana;tsn;top 100, < 20 mil
Xhosa, isiXhosa;xho;top 100, < 20 mil
Zuid-Sotho, Sesotho;sot;top 100, < 20 mil
Amhaars;amh;top 100, > 20 mil
Bengaals;ben;top 100, > 20 mil
Bhojpuri;bho;top 100, > 20 mil
Birmaans, Birmees;mya;top 100, > 20 mil
Egyptisch Arabisch;arz;top 100, > 20 mil
Gan, Ganyu, Jiangxi hua;gan;top 100, > 20 mil
Gujarati;guj;top 100, > 20 mil
Hakka;hak;top 100, > 20 mil
Hausa;hau;top 100, > 20 mil
Hindi;hin;top 100, > 20 mil
Igbo, Asụsụ Igbo;ibo;top 100, > 20 mil
Indonesisch, Bahasa Indonesia;ind;top 100, > 20 mil
Iraans Perzisch, Farsi;pes;top 100, > 20 mil
Japans;jpn;top 100, > 20 mil
Javanees, Jawa;jav;top 100, > 20 mil
Jin, Jinyu;cjy;top 100, > 20 mil
Kannada;kan;top 100, > 20 mil
Koreaans;kor;top 100, > 20 mil
Magahi, Magadhi;mag;top 100, > 20 mil
Mandarijn Chinees;cmn;top 100, > 20 mil
Marathi;mar;top 100, > 20 mil
Min Nan, Zuidelijk Min, Minnanyu;nan;top 100, > 20 mil
Nepalees;nep;top 100, > 20 mil
Nigeriaans Pidgin;pcm;top 100, > 20 mil
Punjabi;pan;top 100, > 20 mil
Russisch;rus;top 100, > 20 mil
Sa'idi Arabisch, Opper Egyptisch Arabisch;aec;top 100, > 20 mil
Saraiki, Siraiki, Seraiki;skr;top 100, > 20 mil
Sindhi;snd;top 100, > 20 mil
Soedanees Arabisch;apd;top 100, > 20 mil
Soendanees, Basa Sunda;sun;top 100, > 20 mil
Tagalog, Filippijns;tgl;top 100, > 20 mil
Tamil;tam;top 100, > 20 mil
Telugu;tel;top 100, > 20 mil
Thai;tha;top 100, > 20 mil
Urdu;urd;top 100, > 20 mil
Vietnamees;vie;top 100, > 20 mil
Wu, Wuyu, Wu Nyu;wuu;top 100, > 20 mil
Xiang, Siong, Hunanees;hsn;top 100, > 20 mil
Yoruba, Èdè Yorùbá;yor;top 100, > 20 mil
Yue, Kantonees;yue;top 100, > 20 mil
Zulu, IsiZulu;zul;top 100, > 20 mil
Jiddisch;yid;varia
Latijn;lat;varia
Modern Hebreeuws;heb;varia
Oost Jiddisch;ydd;varia
Oud Grieks, Koine Grieks;grc;varia
Oud Hebreeuws;hbo;varia
West Jiddisch;yih;varia
